,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulate
LHX8,-4.501319464,4.010514181,-8.339194222,9.60E-09,5.68E-06,10.14413632,down-regulated
NRN1,4.186901895,7.026945008,7.137540836,1.60E-07,4.37E-05,7.458991194,up-regulated
HOXB2,3.971168447,5.854958538,9.262850279,1.26E-09,1.33E-06,12.0643989,up-regulated
COMP,3.807818846,8.5651639,5.107221264,2.70E-05,0.001683702,2.520088685,up-regulated
EMX2,3.657912925,6.084353392,10.97602827,3.88E-11,7.16E-08,15.29906338,up-regulated
SLC14A1,-3.249606773,5.158647592,-13.53946767,3.97E-13,5.87E-09,19.41926513,down-regulated
EPGN,-3.174473591,3.377574265,-8.193343944,1.34E-08,7.06E-06,9.829383523,down-regulated
SAMD5,-3.111034203,7.290146063,-5.875780524,3.70E-06,0.000480435,4.434728788,down-regulated
PAX9,-3.091318166,4.977469103,-10.27929345,1.53E-10,2.26E-07,14.03345957,down-regulated
FOXL2,3.026109824,4.218096692,9.528157449,7.17E-10,8.15E-07,12.59273952,up-regulated
LXN,-2.942386188,6.11213739,-6.526671061,7.16E-07,0.000141097,6.017947935,down-regulated
VCAM1,-2.851981977,5.762167963,-4.920821965,4.39E-05,0.002400157,2.051810505,down-regulated
COL15A1,-2.850670443,8.766838059,-3.967448352,0.000525765,0.013057539,-0.32978935,down-regulated
TM4SF20,-2.836980284,3.803884621,-5.717123792,5.56E-06,0.000595389,4.042668197,down-regulated
LRRC32,2.800872967,8.279786982,11.6899158,1.01E-11,3.73E-08,16.52826309,up-regulated
LEPR,-2.768012829,7.084002745,-8.677309778,4.50E-09,3.17E-06,10.86171329,down-regulated
MXRA5,2.76538795,8.631898065,5.913646405,3.36E-06,0.00045783,4.527985365,up-regulated
FOXF1,-2.678371038,6.773345782,-5.642690765,6.73E-06,0.000681485,3.858050765,down-regulated
RPS4Y1,-2.638084409,7.453355155,-2.118226469,0.044100876,0.177424078,-4.426693852,unchanged
PITX2,2.590744565,4.297408762,4.569277044,0.000109878,0.004522744,1.168540114,up-regulated
GALNT14,-2.561242949,3.746197517,-7.640768423,4.81E-08,1.70E-05,8.608645666,down-regulated
