"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"LHX8",-4.5013194635641,4.01051418072,-8.3391942223808,9.60370202491615e-09,5.67655619288744e-06,10.144136316879,"down-regulated"
"NRN1",4.18690189483975,7.0269450076,7.13754083590959,1.59872520125811e-07,4.37488190722057e-05,7.45899119359054,"up-regulated"
"HOXB2",3.97116844698718,5.8549585384,9.26285027916112,1.25858138350476e-09,1.32843265028927e-06,12.0643989018438,"up-regulated"
"COMP",3.80781884615385,8.5651639,5.10722126407118,2.69694719458618e-05,0.00168370221034267,2.52008868457507,"up-regulated"
"EMX2",3.65791292466667,6.08435339184,10.9760282747953,3.8779076755464e-11,7.16298021519365e-08,15.2990633793469,"up-regulated"
"SLC14A1",-3.2496067728141,5.15864759228,-13.5394676665122,3.97388882933958e-13,5.87221552311509e-09,19.4192651314359,"down-regulated"
"EPGN",-3.17447359144872,3.37757426472,-8.19334394399512,1.33747221674724e-08,7.05850962388354e-06,9.82938352293736,"down-regulated"
"SAMD5",-3.11103420291026,7.29014606268,-5.87578052398164,3.70291813488667e-06,0.000480435113001982,4.43472878811441,"down-regulated"
"PAX9",-3.09131816592308,4.97746910328,-10.2792934484251,1.52822912892814e-10,2.25826418381712e-07,14.0334595657296,"down-regulated"
"FOXL2",3.02610982370513,4.21809669184,9.52815744938364,7.16730990796708e-10,8.14702603923304e-07,12.5927395200988,"up-regulated"
"LXN",-2.94238618760256,6.11213738972,-6.52667106144456,7.16132155525594e-07,0.000141097131496023,6.0179479350764,"down-regulated"
"VCAM1",-2.8519819770641,5.76216796324,-4.92082196525508,4.38547917714986e-05,0.00240015651113865,2.05181050457245,"down-regulated"
"COL15A1",-2.85067044254487,8.76683805904,-3.96744835170683,0.000525765439396847,0.0130575393243146,-0.32978934960058,"down-regulated"
"TM4SF20",-2.83698028383333,3.80388462076,-5.71712379176339,5.56023784642585e-06,0.000595388656932136,4.04266819662052,"down-regulated"
"LRRC32",2.80087296718589,8.27978698248,11.6899157980445,1.00904088484639e-11,3.72764928884377e-08,16.5282630945357,"up-regulated"
"LEPR",-2.76801282880769,7.08400274548,-8.67730977758231,4.50492106799816e-09,3.16996279151471e-06,10.8617132948131,"down-regulated"
