"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LHX8",4.56683856079487,4.01051418072,8.81218080967879,3.40745199103190e-09,1.67839726904928e-05,10.929413558336
"NRN1",-4.09906802743589,7.0269450076,-6.70673708685267,4.63296949094211e-07,0.00024450496488447,6.40342315217456
"HOXB2",-3.9584548078205,5.8549585384,-9.12509556271481,1.72559613897873e-09,1.3097679088729e-05,11.5442245170831
"RPS4Y1",3.3992675093077,7.45335515516,2.90075489254625,0.00758840292884996,0.122907532327677,-2.6799510386158
"EMX2",-3.35456840802563,6.08435339184,-7.59306785502317,5.46167502557704e-08,6.20824398868861e-05,8.38978740700302
"COL15A1",3.31275854367308,8.76683805904,5.20486394483678,2.1048040517072e-05,0.00349468421034577,2.81889115751616
"SAMD5",3.21094711696154,7.29014606268,6.34561751910705,1.13729034912215e-06,0.000442256302341526,5.56334868501936
"EPGN",3.13770895214103,3.37757426472,7.85418151364449,2.96535504700139e-08,4.71654636027453e-05,8.95295755202567
"VCAM1",3.08646297069231,5.76216796324,5.8148162413589,4.36326998043085e-06,0.00119400075001531,4.30089841171564
"LXN",2.96720309476924,6.11213738972,6.66983069559256,5.07487188392418e-07,0.000258590971823268,6.3183345206699
"PAX9",2.89988941869231,4.97746910328,7.86741788961949,2.8756376290786e-08,4.71654636027453e-05,8.98122976607099
"FOXF1",2.89371474256411,6.7733457822,6.84932115122404,3.26327155725833e-07,0.00020092234917336,6.73044524741935
"FOXL2",-2.85625255065384,4.21809669184,-7.62039262470569,5.12138017288622e-08,6.20824398868861e-05,8.44920461195132
"TM4SF20",2.82703914341026,3.80388462076,5.66542089634356,6.39956577698866e-06,0.00151672616511694,3.94050614818898
"LEPR",2.76093768898077,7.08400274548,8.58078534216374,5.68262738194989e-09,2.09930462057684e-05,10.465033299984
"HOXC6",-2.71689565014102,5.77725642124,-3.78184070949086,0.000849889011882508,0.0347574341954638,-0.658097661020762
"CYTL1",2.66168271607693,6.05850437564,5.65525163851476,6.56902446826039e-06,0.00151672616511694,3.91590447928933
"F3",-2.61699625086538,6.8240342302,-3.38577729398081,0.00231700814515161,0.0624788856950828,-1.5906465489078
"PTGDS",-2.51778643685897,8.438545114,-5.90236697626877,3.48904884789364e-06,0.00105230762280902,4.51115150953554
"GALNT14",2.47738665607693,3.74619751684,6.89029743530548,2.95192867471332e-07,0.000189655000114082,6.82391581608652
"CDH6",2.47258585103847,5.39411809696,5.33295547043652,1.50956003212853e-05,0.00272033763350771,3.13218453224053
"SERPINB2",-2.46758914315384,3.62548385244,-3.24676125094491,0.003273418369483,0.0781442701871571,-1.90979956226526
"SCN9A",2.46727807925642,4.77061956112,5.42311225362242,1.19529582298494e-05,0.00226447261233955,3.35213727156503
"OMD",2.44866779984616,5.53019768008,5.10662333545876,2.71741977695062e-05,0.00418284500458327,2.57808238625038
"FOXF2",2.40940606958975,6.86563280148,4.86586084541385,5.08937464089263e-05,0.00596870548162463,1.98660338900947
"LRRC32",-2.40101249707691,8.27978698248,-6.42735815466905,9.26919087607514e-07,0.000391345238787892,5.75493369622328
"MEIS1",-2.39368351643589,4.20579040188,-8.13011421554265,1.5703980586524e-08,3.31511030181522e-05,9.53677772066759
"PDGFRL",2.36509673,6.5973983054,4.12622522695833,0.000349780140744521,0.020429648773841,0.172953188519073
"COMP",-2.33283192307692,8.5651639,-2.43985737616572,0.0220111218690431,0.224216172434489,-3.63689322743541
"C13orf15",2.33189030490385,7.6587621252,4.90303673723293,4.61896169446418e-05,0.00559462270156534,2.07801607608196
"EIF1AY",2.33031233766667,5.33051211208,2.6735808713298,0.0129420107037755,0.164865596698009,-3.16285042772119
"HOXC8",-2.32402526210256,5.58972880996,-3.73527493002175,0.000957378974793058,0.0374455158773107,-0.769237584555363
"SIX1",2.2996158375577,5.99916919872,3.74151266825364,0.000942241641426195,0.0370305977004119,-0.754369871171056
"BMP4",2.29500496356411,6.28230605328,8.14743775030186,1.5094677166174e-08,3.31511030181522e-05,9.57304011341084
"SLC14A1",2.24000987782693,5.15864759228,4.26184248454399,0.000245954422614045,0.0165957465888938,0.503587284725532
"PITX2",-2.19081279441025,4.29740876176,-3.47451180018251,0.00185477006738076,0.0546433614964421,-1.38448045147685
"CSTA",2.15233469112821,6.60226720328,4.23702661071282,0.000262345952653207,0.0171534785060019,0.442979419095922
"PSG5",-2.13547861792307,5.86508615032,-3.8380955266107,0.000735747495718028,0.0325513195934889,-0.523389250964425
"IRX5",-2.10264314128205,7.9744313268,-6.76262586373398,4.03715058395432e-07,0.000229449900688819,6.53193199737277
"SLPI",2.0868548094359,7.45171666276,3.13887849077786,0.00426803369393476,0.0905418972344545,-2.1538962841481
"IRX1",-2.07851697192307,4.7592686054,-4.92141056041209,4.4028250765283e-05,0.00542171217965489,2.12318810114621
"DDX3Y",2.01607075838462,5.96264169364,2.77259922934219,0.0102755952339148,0.142575089926347,-2.95485485794006
"FAM107B",1.98221719435898,6.6974388706,8.37468338192491,9.01540746637829e-09,2.66441352261344e-05,10.0444250753603
"CNTN3",-1.97650685043589,5.66194939756,-3.81890952760965,0.000772872735341229,0.0331885388471248,-0.569384834788464
"HHEX",1.9388400243077,4.42011529936,4.51156904789461,0.000128317549646985,0.0110466536061555,1.11547762040987
"MSX1",1.92092617658975,5.89192018284,5.80697341790121,4.45168778560391e-06,0.00119604709832489,4.28202855025353
"EYA1",1.90754910033334,7.55429311416,7.02559564681668,2.12297674222013e-07,0.000142596487817213,7.13089259198596
"LOXL3",1.90522851335898,5.22150863872,5.84898039340813,3.99839280662955e-06,0.00113623558660702,4.38303049917443
"MXRA5",-1.89545597923076,8.6318980652,-3.07882119119163,0.00494151404272144,0.0976213275525331,-2.28830070071893
"PEAR1",1.87915756228205,5.00321273528,5.63798754495361,6.86717169519556e-06,0.00156117224830623,3.87411935353285
"LBH",-1.85549371232051,6.88653102224,-4.68625984592309,8.1331748554214e-05,0.00812053546206501,1.54485492723068
"IRX2",-1.83876742038461,5.8513855036,-5.71672879143405,5.60965656384008e-06,0.00140498127192991,4.06449860255603
"STMN2",-1.78570314620512,5.64329065636,-2.70460105255643,0.0120437837003625,0.157191471002653,-3.09812247513311
"SCG5",-1.77926093646153,4.16731454396,-4.07484191285796,0.000399583883196471,0.0221476190661576,0.0480971028685637
"RSPO2",1.76665785282052,2.9471670482,3.94782990297865,0.000554784564717629,0.0276257239267234,-0.259346287193162
"IL13RA2",-1.74083277630769,3.76704929968,-2.74369789349538,0.0109949802261781,0.149744537144916,-3.01597593064007
"NTF3",-1.72031639682051,5.95034631568,-4.13759161425212,0.00033962189159605,0.0199943931956766,0.20060566070708
"GALNT12",1.71215453112821,5.43481550148,3.1196092381947,0.00447389248057031,0.0933457114142103,-2.19713928118709
"BEX1",-1.71174806038461,4.5976311214,-2.93606786012306,0.00697435970499044,0.116715870170605,-2.60314018004246
"HOXC4",-1.67437994958974,4.76471501112,-4.15345141167698,0.000325934285949164,0.0196584936468196,0.239209062563818
"IGFBP3",-1.66725520199358,10.90317220712,-3.46225326498917,0.00191283203964176,0.0554233706858554,-1.41306787395095
"C20orf103",1.65692493228205,5.89836887288,2.79194134146527,0.00981918770560964,0.138320435391605,-2.91376538192935
