1,group,score
2,keloid,4.660110264
3,keloid,4.855990264
4,keloid,4.788400264
5,keloid,5.232750264
6,keloid,4.538230264
7,keloid,4.925960264
8,keloid,4.976610264
9,keloid,4.722670264
10,keloid,4.548720264
11,Normal,7.143530264
12,Normal,7.287190264
13,Normal,7.446630264
14,Normal,7.903450264
15,Normal,8.859800264
16,Normal,8.904490264
17,Normal,7.174430264
18,Normal,6.934910264
19,Normal,7.196230264
20,Normal,7.263710264
21,Normal,6.655270736
22,Normal,6.661956736
23,Normal,6.650586736
24,keloid,5.937404136
25,keloid,6.932174236
26,keloid,4.856443736
