ID,cell_type,fraction
GSM2198196,B.cells.naive,0.370766005
GSM2198197,B.cells.naive,0.194601554
GSM2198198,B.cells.naive,0.234096586
GSM2198199,B.cells.naive,0.297957103
GSM2198200,B.cells.naive,0.225458469
GSM2198201,B.cells.naive,0.160281635
GSM4331585,B.cells.naive,0.311611261
GSM4331586,B.cells.naive,0.142906222
GSM4331587,B.cells.naive,0.197114193
GSM4331588,B.cells.naive,0.313287999
GSM4331589,B.cells.naive,0.236500523
GSM4331590,B.cells.naive,0.161941084
GSM4331591,B.cells.naive,0.159114492
GSM4331592,B.cells.naive,0.371236521
GSM4331593,B.cells.naive,0.362023737
GSM4331594,B.cells.naive,0.326946503
GSM4331595,B.cells.naive,0.306025877
GSM4331596,B.cells.naive,0.223701011
GSM4331597,B.cells.naive,0.129142695
GSM4331598,B.cells.naive,0.206061059
GSM4331599,B.cells.naive,0.15984645
GSM4331600,B.cells.naive,0.298990193
GSM4331601,B.cells.naive,0.336606709
GSM4331602,B.cells.naive,0.192909932
GSM4331603,B.cells.naive,0.255259075
GSM2198196,B.cells.memory,0
GSM2198197,B.cells.memory,0
GSM2198198,B.cells.memory,0
GSM2198199,B.cells.memory,0
GSM2198200,B.cells.memory,0
GSM2198201,B.cells.memory,0
GSM4331585,B.cells.memory,0
GSM4331586,B.cells.memory,0
GSM4331587,B.cells.memory,0
GSM4331588,B.cells.memory,0
GSM4331589,B.cells.memory,0
GSM4331590,B.cells.memory,0
GSM4331591,B.cells.memory,0
GSM4331592,B.cells.memory,0
GSM4331593,B.cells.memory,0
GSM4331594,B.cells.memory,0
GSM4331595,B.cells.memory,0
GSM4331596,B.cells.memory,0
GSM4331597,B.cells.memory,0
GSM4331598,B.cells.memory,0
GSM4331599,B.cells.memory,0
GSM4331600,B.cells.memory,0
GSM4331601,B.cells.memory,0
GSM4331602,B.cells.memory,0
GSM4331603,B.cells.memory,0
GSM2198196,Plasma.cells,0.010093614
GSM2198197,Plasma.cells,0.172139504
GSM2198198,Plasma.cells,0.216424091
GSM2198199,Plasma.cells,0.105333006
GSM2198200,Plasma.cells,0.09774145
GSM2198201,Plasma.cells,0.117851226
GSM4331585,Plasma.cells,0.113988587
GSM4331586,Plasma.cells,0.191952681
GSM4331587,Plasma.cells,0.176904717
GSM4331588,Plasma.cells,0.089877807
GSM4331589,Plasma.cells,0.170699461
GSM4331590,Plasma.cells,0.15906649
GSM4331591,Plasma.cells,0.102237542
GSM4331592,Plasma.cells,0.092903173
GSM4331593,Plasma.cells,0.147307665
GSM4331594,Plasma.cells,0.106412016
GSM4331595,Plasma.cells,0.105881422
GSM4331596,Plasma.cells,0.094859629
GSM4331597,Plasma.cells,0.252582157
GSM4331598,Plasma.cells,0.163202159
GSM4331599,Plasma.cells,0.146916936
GSM4331600,Plasma.cells,0.096607228
GSM4331601,Plasma.cells,0.096878951
