,GSM4331587,GSM4331588,GSM4331589,GSM4331592,GSM4331593,GSM4331594,GSM4331595,GSM4331596,GSM4331597,GSM4331599,GSM4331600,GSM4331601,GSM4331602,GSM2198196,GSM2198197,GSM2198198,GSM2198200
TNFAIP8L1,5.885943221,6.096713221,6.424543221,6.272408221,5.915493221,6.108688221,5.573328221,5.749958221,5.630538221,5.778603221,5.915833221,6.116038221,6.312163221,6.162722779,6.025219479,6.099092779,5.839612779
OTOP2,5.446246392,5.299386392,5.189346392,5.075661392,5.019341392,5.297766392,5.086556392,4.893366392,4.863761392,5.193781392,5.249441392,5.176926392,5.152816392,4.893360908,5.041717608,4.856431308,5.150438208
C17orf78,2.662936001,2.791526001,2.687016001,2.782626001,2.674566001,2.791766001,2.688796001,2.618316001,2.563116001,2.674566001,2.668786001,2.877526001,2.618756001,3.435054299,2.150517799,2.499840299,2.285032299
SAMD7,3.137363626,3.027343626,2.964443626,3.075013626,2.743623626,2.977323626,3.036453626,2.921663626,3.191613626,3.027343626,3.060313626,3.081963626,3.031903626,2.492711874,3.011815874,2.725938674,2.646499674
C1orf173,2.358651664,2.184891664,2.338091664,2.087471664,2.056511664,2.244631664,2.413731664,2.377891664,2.292861664,2.221011664,2.138411664,2.184571664,2.259071664,1.625435536,2.450362836,2.317906136,3.608583136
HIST1H2BI,6.905532474,7.04708914,7.02199914,7.09336914,7.045495807,7.03800914,7.06353914,7.189202474,6.89085914,6.918882474,7.038222474,7.166312474,7.03462914,7.41599286,7.36437086,7.14097286,6.76324286
HIST1H4E,6.644084673,7.075494673,6.765529673,6.748644673,6.411789673,7.084454673,6.864259673,7.094639673,6.696629673,6.748109673,6.596094673,6.802579673,7.128949673,7.134661327,7.073088327,6.973261327,6.663837327
HIST1H2AJ,6.526537452,6.479867452,6.590117452,6.674877452,6.518407452,6.520577452,6.417627452,6.526537452,6.526537452,6.254037452,6.534487452,6.463647452,6.701367452,7.134675548,6.984795548,6.942440548,6.186984548
HIST1H2BE,5.028810162,5.260593495,5.298250162,5.094480162,5.253813495,5.421620162,5.128046829,5.276093495,5.198706829,5.218776829,5.330850162,5.257083495,5.159843495,5.464996338,5.422348838,5.219164838,5.027769838
HIST1H3A,5.721415947,5.971990947,5.866065947,5.859005947,6.031495947,5.829115947,5.909445947,5.906940947,5.948190947,5.805210947,6.126905947,6.202145947,6.039325947,6.446138053,6.167857053,5.980744053,5.743845053
RAB3D,6.144021792,5.753011792,6.363071792,5.748711792,5.768111792,5.957761792,5.998351792,5.984911792,6.000701792,6.139591792,5.995231792,5.845531792,6.021871792,6.734952708,7.320641208,6.444106208,5.277116208
PDZD9,2.316523703,2.420418703,2.325008703,2.392028703,2.416823703,2.513723703,2.305078703,2.486693703,2.303613703,2.445038703,2.448823703,2.316138703,2.439858703,2.399012397,2.404579697,2.524263297,2.472796497
CACNG8,6.282253446,6.320713446,6.417123446,6.626293446,6.279553446,6.417123446,6.529513446,6.283803446,6.318473446,6.247923446,6.344523446,6.266103446,6.417123446,6.193472554,6.009198554,6.541262154,6.321497554
MORC2,6.775782332,6.582642332,6.425622332,6.981962332,6.835982332,6.553172332,6.286732332,5.892982332,6.602482332,5.793212332,6.446332332,6.386102332,6.352622332,6.319001668,6.469658668,6.555544068,6.575294668
HIST1H2BN,7.655201895,7.841101895,7.734991895,7.423381895,8.275741895,7.870841895,7.906551895,7.734271895,8.004221895,7.932661895,7.761841895,8.089061895,7.844701895,7.794232105,8.000394105,7.759346105,7.865687105
GPR32,5.839515865,5.889139198,5.735775865,5.695875865,5.708155865,5.844829198,5.936555865,5.777592532,5.792495865,5.691765865,5.880142532,5.719665865,5.853059198,5.087217068,3.819412968,4.272512168,6.492231468
ZNF600,7.557216077,7.274086077,7.544756077,7.566376077,7.559846077,7.423036077,7.437576077,7.492826077,7.664376077,7.627906077,7.190866077,7.121356077,7.132546077,7.759278773,7.687399923,7.456112923,7.518753573
KRTAP6-2,4.236481223,4.463086223,4.586881223,4.548681223,4.350241223,4.528136223,4.467171223,4.407431223,4.438831223,4.392861223,4.554341223,4.678566223,4.630751223,6.043321777,4.131282277,5.137827777,4.441116777
KRTAP20-1,4.363833799,4.347308799,4.511798799,4.364378799,4.187873799,4.520598799,4.507168799,4.188363799,4.293238799,4.396563799,4.516073799,4.486938799,4.605088799,4.632668201,3.809179801,4.802994201,3.984640201
HIST1H2BH,7.6111175,7.373864167,7.6283075,7.615140833,7.552124167,7.5907375,7.493670833,7.5265675,7.4921675,7.435024167,7.4326975,7.394784167,7.500020833,7.901988833,7.729950833,7.753475833,7.240371833
GLIPR1L2,3.14495646,3.22482646,3.01484646,2.96615646,2.97200646,3.05024646,3.15110646,2.95586646,3.24182646,2.97200646,3.20275646,3.23940646,3.10057646,3.53446864,4.052936807,4.185207773,3.427871773
SNAPC5,5.24030166,5.38402166,4.88333166,5.342044993,5.287164993,5.147774993,5.290008326,5.267424993,5.317898326,5.379564993,5.36204166,5.38441166,5.27188166,5.70206104,5.148035073,5.572866707,5.520280573
IFNA10,2.103368889,1.923878889,2.135838889,1.760628889,1.964938889,2.089288889,1.836278889,1.920528889,2.013828889,2.042078889,1.946228889,1.773378889,1.946228889,2.120523011,1.909574511,1.938230011,1.897136111
PCDHA13,2.806113936,2.727893936,2.724073936,2.830443936,2.719973936,2.875103936,2.618943936,2.656883936,2.833403936,2.577203936,2.858763936,2.806113936,2.690563936,3.150515064,2.432964864,3.281200064,2.403142364
GSC2,3.928197475,3.901057475,3.807137475,3.869192475,4.125582475,4.013807475,4.062647475,3.859022475,4.070307475,4.087207475,4.096737475,3.896672475,3.999487475,3.669909525,4.195652025,3.822375825,3.764400525
OR9Q2,3.387773535,3.533118535,3.305368535,3.509058535,3.550748535,3.548303535,3.386933535,3.446913535,3.549013535,3.359838535,3.509058535,3.715663535,3.574098535,2.509455465,3.830499465,3.574159265,3.016357765
KRTAP20-2,5.810842425,6.217837425,5.986317425,5.855387425,6.043127425,6.141887425,6.203297425,6.101112425,6.083657425,5.779847425,6.254722425,6.072472425,6.256862425,6.700078575,7.168533575,5.551237575,5.386541575
SSX7,4.220147616,4.177367616,4.157307616,4.169267616,4.047977616,4.256697616,4.177367616,4.414347616,4.227697616,3.958047616,4.111367616,4.242217616,4.200947616,3.846935334,4.183651284,4.151736934,4.043871084
C3orf15,2.849473005,2.955463005,2.845453005,2.766433005,2.466473005,2.754593005,2.897503005,2.805483005,3.042613005,2.651353005,2.845853005,2.978073005,2.691173005,3.756754895,3.038959495,3.099894995,2.467277845
PCDHA4,4.175127246,4.393137246,4.420617246,4.477592246,4.154792246,4.587757246,4.515062246,4.490967246,4.472307246,4.349972246,4.557192246,4.570132246,4.577917246,4.284217754,3.799685354,4.886509754,4.263299354
PRB3,8.719247667,8.690557667,8.687517667,8.662827667,8.412577667,8.762337667,8.687517667,8.766177667,8.655937667,8.720507667,8.677007667,8.677007667,8.865347667,8.451152833,8.911960833,8.253294333,8.793656833
PCDHGB1,3.810518007,3.890613007,3.851263007,4.137788007,3.825068007,3.783048007,3.987158007,3.847713007,3.897273007,3.959263007,3.990288007,3.834643007,3.890543007,3.798943493,3.802446393,3.904234993,3.309720493
ZNF675,6.638691912,6.388671912,6.528621912,6.640731912,6.574921912,6.646521912,6.569771912,6.574921912,6.556061912,6.639691912,6.574921912,6.853421912,6.574921912,7.482561088,6.773113088,6.712847088,6.365976088
KRTAP6-1,6.627455335,6.599320335,6.795495335,6.873590335,6.644370335,6.785265335,6.681865335,6.672830335,6.772705335,6.638160335,6.724300335,6.591670335,6.670600335,7.180955665,6.602021065,6.615924265,6.226642665
KRTAP19-4,2.289380413,2.445205413,2.231595413,2.348780413,2.489710413,2.604645413,2.286285413,2.240825413,2.263005413,2.522125413,2.336285413,2.336285413,2.415685413,2.451674587,2.105416887,2.301354187,2.166725587
SFT2D1,9.617363443,9.365103443,9.152043443,9.320663443,9.350663443,9.282223443,9.399803443,9.203203443,9.264003443,9.315653443,9.270593443,9.324443443,9.295093443,9.758184557,9.226479557,9.752946557,9.103985557
LOC650293,3.616823607,3.363773607,3.387733607,3.288023607,3.253033607,3.162803607,3.574853607,3.426673607,3.518973607,3.511253607,3.621133607,3.244873607,3.291653607,3.877882243,3.775484443,3.484544043,3.239134393
